Participant,Trailer,Type,Onset,Offset,Duration,W_score,A_score,F_score,NAcc_onset,AIns_onset,MPFC_onset,NAcc_middle,AIns_middle,MPFC_middle,NAcc_offset,AIns_offset,MPFC_offset
sub-03,rh3,Horror,468.0,498.0,30,4,3,4,-0.08535284418928693,0.0827763847841834,-0.07573469292512866,-0.004744470532626608,-0.1375084783555065,0.04407202808735702,-0.06668220961135567,-0.13382885185204513,0.13755999041480968
sub-03,rc11,Comedy,512.0,542.0,30,1,2,1,0.024214239951200478,-0.13962642966510092,-0.1295911924244866,0.16498309018950633,0.056493361385715125,0.11017823868320234,-0.000812628342425381,-0.07526522454077186,-0.16667502114984162
sub-03,uc1,Comedy,560.0,590.0,30,3,3,2,0.022454336133075604,0.050703152089650705,0.08997956383963687,0.14281835527961864,-0.1514462850819362,-0.25274785418691403,-0.08450109181745272,0.1599817288233015,0.056745303790033244
sub-03,rh11,Horror,608.0,638.0,30,4,2,4,-0.0132182421006963,-0.058589498439727605,0.1069626114219258,0.09598678927260829,-0.08814082967065959,0.10052864941715156,-0.0954748034204996,0.012273788971878741,-0.05534295245413545
sub-03,rc12,Comedy,656.0,686.0,30,3,3,2,-0.2245428994583472,-0.09475557930261148,-0.040672774848926514,0.14957927173893332,-0.06698391931095307,-0.015457412472691357,0.020275768393003026,-0.11552963738824891,-0.18957489770443797
sub-03,rc5,Comedy,700.0,730.0,30,2,3,2,0.037547578324374685,0.15350349905821858,0.02676678710403309,-0.11915926317787362,0.05136245354037859,0.07616536474390964,-0.019487146414359457,-0.10812792049609639,-0.07228448813293409
sub-03,rc3,Comedy,12.0,42.0,30,1,2,1,0.07280355029784982,0.025916332192416125,-0.12504225916228331,-0.0499745701484682,0.11286841691713086,0.11644417709332262,0.0363886294491955,-0.16660747826397554,-0.05025779404024584
sub-03,rh12,Horror,60.0,90.0,30,4,2,4,-0.2983569798409976,-0.4319889665084381,-0.1613448302223594,0.080055679463804,0.2548827418923266,-0.0916439689898968,0.09250898023251819,0.24432762926312535,0.23542583799943761
sub-03,rc1,Comedy,108.0,138.0,30,2,3,1,0.1165426764407412,0.10118857135010903,-0.27989610030629486,-0.010341453463303812,-0.33127682987654217,-0.19961544382385438,0.1173454871774968,0.26272299350857053,0.005238980617862532
sub-03,rh7,Horror,152.0,182.0,30,4,2,4,-0.0855695916168662,-0.18168666950526857,0.09241300930955124,-0.038561644025804157,0.13462127216489192,-0.09857820727036266,-0.1373381820456539,-0.16529376618601743,-0.00800707403689857
